,date,open,high,low,close,volume,Name
0,2013-02-08,78.34,79.72,78.01,78.9,1298137,AAP
1,2013-02-09,78.34,79.72,78.01,78.9,1298137,AAP
2,2013-02-10,78.34,79.72,78.01,78.9,1298137,AAP
3,2013-02-11,78.65,78.91,77.23,78.39,758016,AAP
4,2013-02-12,78.39,78.63,77.5132,78.6,876859,AAP
5,2013-02-13,78.9,79.13,77.85,78.97,1038574,AAP
6,2013-02-14,78.66,79.72,78.585,78.84,1005376,AAP
7,2013-02-15,78.83,79.18,77.93,79.0,1247063,AAP
8,2013-02-16,78.83,79.18,77.93,79.0,1247063,AAP
9,2013-02-17,78.83,79.18,77.93,79.0,1247063,AAP
10,2013-02-18,78.83,79.18,77.93,79.0,1247063,AAP
11,2013-02-19,79.12,81.44,78.57,80.72,1730690,AAP
12,2013-02-20,80.42,80.94,79.39,79.5,648693,AAP
13,2013-02-21,79.26,80.05,78.56,79.06,915160,AAP
14,2013-02-22,79.2,79.46,78.63,79.21,538188,AAP
15,2013-02-23,79.2,79.46,78.63,79.21,538188,AAP
16,2013-02-24,79.2,79.46,78.63,79.21,538188,AAP
17,2013-02-25,79.46,79.74,78.36,78.36,579811,AAP
18,2013-02-26,78.42,78.925,76.42,77.15,990145,AAP
19,2013-02-27,77.29,77.58,76.22,77.3,720813,AAP
20,2013-02-28,77.35,77.59,76.34,76.34,1180713,AAP
21,2013-03-01,76.37,76.66,75.623,76.37,1272624,AAP
22,2013-03-02,76.37,76.66,75.623,76.37,1272624,AAP
23,2013-03-03,76.37,76.66,75.623,76.37,1272624,AAP
24,2013-03-04,76.24,77.25,76.1,77.02,1098428,AAP
25,2013-03-05,77.07,77.49,76.72,76.95,1288012,AAP
26,2013-03-06,77.1,77.24,75.97,76.18,1255676,AAP
27,2013-03-07,76.04,76.75,75.7,76.22,965808,AAP
28,2013-03-08,76.44,77.16,75.6302,76.84,736386,AAP
29,2013-03-09,76.44,77.16,75.6302,76.84,736386,AAP
30,2013-03-10,76.44,77.16,75.6302,76.84,736386,AAP
31,2013-03-11,76.88,78.06,76.84,77.53,689362,AAP
32,2013-03-12,77.26,77.66,76.89,77.36,660535,AAP
33,2013-03-13,77.54,78.85,77.32,78.77,644976,AAP
34,2013-03-14,78.9,79.12,77.36,77.67,763234,AAP
35,2013-03-15,77.9,79.59,77.41,79.57,1237958,AAP
36,2013-03-16,77.9,79.59,77.41,79.57,1237958,AAP
37,2013-03-17,77.9,79.59,77.41,79.57,1237958,AAP
38,2013-03-18,79.09,80.76,79.0101,80.7,1219201,AAP
39,2013-03-19,80.64,80.9399,79.77,80.07,1370222,AAP
40,2013-03-20,80.07,80.704,79.8005,80.22,728484,AAP
41,2013-03-21,79.91,80.72,79.85,80.03,616238,AAP
42,2013-03-22,80.12,80.44,78.972,79.81,586660,AAP
43,2013-03-23,80.12,80.44,78.972,79.81,586660,AAP
44,2013-03-24,80.12,80.44,78.972,79.81,586660,AAP
45,2013-03-25,79.83,80.94,79.33,80.53,1150900,AAP
46,2013-03-26,80.86,81.61,80.56,81.6,969581,AAP
47,2013-03-27,81.02,81.7,80.9601,81.64,551193,AAP
48,2013-03-28,81.34,83.07,81.29,82.65,1287266,AAP
49,2013-03-29,81.34,83.07,81.29,82.65,1287266,AAP
50,2013-03-30,81.34,83.07,81.29,82.65,1287266,AAP
51,2013-03-31,81.34,83.07,81.29,82.65,1287266,AAP
52,2013-04-01,82.54,83.03,81.66,82.34,749343,AAP
